image name,10,12,13,17,18,26,49,50,51,52,53,54,58
pass9_08_all_none_firstseg.nii.gz,6738,3027,1147,5517,1574,899,6008,5918,3491,1178,5848,1627,481
act24_11_all_none_firstseg.nii.gz,6849,3150,1099,5651,1909,880,5945,5639,3504,1172,6030,1888,529
act12_12_all_none_firstseg.nii.gz,6804,3278,1132,5076,1675,691,6123,5115,3467,1175,6059,1661,436
act12_15_all_none_firstseg.nii.gz,6804,3278,1132,5076,1675,691,6123,5115,3467,1175,6059,1661,436
act12_13_all_none_firstseg.nii.gz,6804,3278,1132,5076,1675,691,6123,5115,3467,1175,6059,1661,436
pass9_07_all_none_firstseg.nii.gz,6738,3027,1147,5517,1574,899,6008,5918,3491,1178,5848,1627,481
act12_05_all_none_firstseg.nii.gz,6804,3278,1132,5076,1675,691,6123,5115,3467,1175,6059,1661,436
pass21_10_all_none_firstseg.nii.gz,6929,2990,1100,5602,1669,843,6069,5666,3645,1184,5926,1702,530
act24_05_all_none_firstseg.nii.gz,6849,3150,1099,5651,1909,880,5945,5639,3504,1172,6030,1888,529
pass21_07_all_none_firstseg.nii.gz,6929,2990,1100,5602,1669,843,6069,5666,3645,1184,5926,1702,530
act24_08_all_none_firstseg.nii.gz,6849,3150,1099,5651,1909,880,5945,5639,3504,1172,6030,1888,529
act12_07_all_none_firstseg.nii.gz,6804,3278,1132,5076,1675,691,6123,5115,3467,1175,6059,1661,436
act24_10_all_none_firstseg.nii.gz,6849,3150,1099,5651,1909,880,5945,5639,3504,1172,6030,1888,529
pass9_05_all_none_firstseg.nii.gz,6738,3027,1147,5517,1574,899,6008,5918,3491,1178,5848,1627,481
pass21_13_all_none_firstseg.nii.gz,6929,2990,1100,5602,1669,843,6069,5666,3645,1184,5926,1702,530
act12_10_all_none_firstseg.nii.gz,6804,3278,1132,5076,1675,691,6123,5115,3467,1175,6059,1661,436
act24_06_all_none_firstseg.nii.gz,6849,3150,1099,5651,1909,880,5945,5639,3504,1172,6030,1888,529
act24_13_all_none_firstseg.nii.gz,6849,3150,1099,5651,1909,880,5945,5639,3504,1172,6030,1888,529
pass21_15_all_none_firstseg.nii.gz,6929,2990,1100,5602,1669,843,6069,5666,3645,1184,5926,1702,530
pass9_06_all_none_firstseg.nii.gz,6738,3027,1147,5517,1574,899,6008,5918,3491,1178,5848,1627,481
pass21_11_all_none_firstseg.nii.gz,6929,2990,1100,5602,1669,843,6069,5666,3645,1184,5926,1702,530
pass9_13_all_none_firstseg.nii.gz,6738,3027,1147,5517,1574,899,6008,5918,3491,1178,5848,1627,481
pass21_09_all_none_firstseg.nii.gz,6929,2990,1100,5602,1669,843,6069,5666,3645,1184,5926,1702,530
pass9_12_all_none_firstseg.nii.gz,6738,3027,1147,5517,1574,899,6008,5918,3491,1178,5848,1627,481
act24_07_all_none_firstseg.nii.gz,6849,3150,1099,5651,1909,880,5945,5639,3504,1172,6030,1888,529
pass9_09_all_none_firstseg.nii.gz,6738,3027,1147,5517,1574,899,6008,5918,3491,1178,5848,1627,481
pass9_10_all_none_firstseg.nii.gz,6738,3027,1147,5517,1574,899,6008,5918,3491,1178,5848,1627,481
pass21_12_all_none_firstseg.nii.gz,6929,2990,1100,5602,1669,843,6069,5666,3645,1184,5926,1702,530
act24_12_all_none_firstseg.nii.gz,6849,3150,1099,5651,1909,880,5945,5639,3504,1172,6030,1888,529
pass21_05_all_none_firstseg.nii.gz,6929,2990,1100,5602,1669,843,6069,5666,3645,1184,5926,1702,530
act12_08_all_none_firstseg.nii.gz,6804,3278,1132,5076,1675,691,6123,5115,3467,1175,6059,1661,436
act12_11_all_none_firstseg.nii.gz,6804,3278,1132,5076,1675,691,6123,5115,3467,1175,6059,1661,436
pass21_08_all_none_firstseg.nii.gz,6929,2990,1100,5602,1669,843,6069,5666,3645,1184,5926,1702,530
pass9_15_all_none_firstseg.nii.gz,6738,3027,1147,5517,1574,899,6008,5918,3491,1178,5848,1627,481
act12_06_all_none_firstseg.nii.gz,6804,3278,1132,5076,1675,691,6123,5115,3467,1175,6059,1661,436
act24_15_all_none_firstseg.nii.gz,6849,3150,1099,5651,1909,880,5945,5639,3504,1172,6030,1888,529
act12_09_all_none_firstseg.nii.gz,6804,3278,1132,5076,1675,691,6123,5115,3467,1175,6059,1661,436
pass9_11_all_none_firstseg.nii.gz,6738,3027,1147,5517,1574,899,6008,5918,3491,1178,5848,1627,481
pass21_06_all_none_firstseg.nii.gz,6929,2990,1100,5602,1669,843,6069,5666,3645,1184,5926,1702,530
act24_09_all_none_firstseg.nii.gz,6849,3150,1099,5651,1909,880,5945,5639,3504,1172,6030,1888,529
